공고명,기업명,경력,학력,우대,고용형태,급여,지역,시간,시작일,마감일,번호
2023 서울국제초청장애인파크골프대회 업무요원 공개 채용 공고,㈔한국지체장애인협회,경력무관,학력무관,기본우대장애인/,계약직 근무기간 3개월,시급 14000원,서울시 영등포구/ 용산구 ,주5일                                 (월~금) 10:00~17:00,상시채용,상시채용,98
[TikTok/틱톡] 장애인 채용: Content Moderator - Korea (Disability Hiring),TikTok,경력무관 신입/경력 모두 지원 가능,초대졸이상,기본우대장애인/,정규직  수습 3개월,회사내규에 따름,서울시 강남구 ,주5일                                 (월~금) 09:00~18:00,상시채용,상시채용,99
[(주)유니에스]카카오 제주오피스 보안직원 채용공고,(주)유니에스,관계없음,학력무관,-,기간의정함이없는근로계약,,(63309)제주특별자치도제주시첨단로216-19/카카오제주사옥(영평동),※상세근무시간주간근무09:00~18:00(휴게시간12시~13시)야간근무18:00~09:00(휴게시간01시~06시)휴게시간(12:00~13:00)3조3교대주소정근로시간:40시간,,채용시까지,100
[엘림에스(주)]제주도 삼정 지에듀아파트 경비원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),엘림에스(주),관계없음,학력무관,고용촉진장려금대상자/보훈취업지원대상자/장애인우대/(준)고령자(50세이상)우대,3개월/계약기간만료후상용직전환검토,월2414030원,(63644)제주특별자치도서귀포시대정읍에듀시티로148/단지내부(삼정G.edu),※상세근무시간.근무시간:격일근무07:00~익일07:00(휴게시간주간4H/야간5H)(격일근무)주소정근로시간:48시간,,채용시까지,101
[영일운수(주)]경리직원 급구,영일운수(주),신입,학력무관,차량소지자/운전면허증,기간의정함이없는근로계약(시간(선택)제),,(63050)제주특별자치도제주시애월읍학원동길4/1층,근무시간협의가능08:30~16:00휴게시간(12:00~12:30)주소정근로시간:35시간,,채용시까지,102
[탐라회원권거래소]여행사 경력직 사무원,탐라회원권거래소,경력(최소1년0개월이상)우대,학력무관,-,기간의정함이없는근로계약,,(63100)제주특별자치도제주시월랑로59/세흔빌딩302호(노형동),근무시간협의가능09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,채용시까지,103
[(주)유니에스]한화리조트제주 시설관리 야간고정근무자 채용,(주)유니에스,경력(최소1년0개월이상)필수,학력무관,-시설관련직무경력자-시설관련자격증소지자,기간의정함이없는근로계약,,(63330)제주특별자치도제주시명림로575-107/한화리조트제주(회천동),17:30~05:30휴게시간(03:00~04:30)주소정근로시간:32시간,,채용시까지,104
[(주)프로에스콤]제주공항 특수경비원 모집,(주)프로에스콤,신입,학력무관,-,12개월,급여-200만원,(63115)제주특별자치도제주시공항로2/제주공항화물청사(주)프로에스콤제주사업소(용담이동),※상세근무시간*.근무타입1)1타입-05;40분~13;30분2)2타입-08;30분~17;30분3)3타입-13;30분~22;30분주소정근로시간:40시간,,채용시까지,105
[(주)한우리종합컨설팅][주3일근무] 롯데마트 제주점 수입치즈코너 직원모집,(주)한우리종합컨설팅,관계없음,학력무관,-,24개월/계약기간만료후상용직전환검토,일급96800원,(63084)제주특별자치도제주시연북로1/롯데마트제주점수입치즈코너(노형동),12:00~21:00휴게시간(16:30~17:30),,채용시까지,106
[(주)한우리종합컨설팅][주5일/214만] 이마트 제주점 김치 반찬코너 사원 모집,(주)한우리종합컨설팅,관계없음,학력무관,-,기간의정함이없는근로계약,2140000원,(63165)제주특별자치도제주시탑동로38/제주이마트(삼도이동),※상세근무시간오전근무시:09:00시~18:00시/휴게시간1시간마감근무시:11:00시~20:00시/휴게시간1시간주말포함주5일휴게시간(14:00~15:00)주소정근로시간:40시간,,채용시까지,107
[(주)대신육가공](주)대신육가공 제주지사 온라인영업부 사원 모집,(주)대신육가공,관계없음,고졸~대졸(4년),차량소지자/운전면허증,3개월/계약기간만료후상용직전환검토,,(63062)제주특별자치도제주시애월읍광상로80/(주)대신육가공제주지사,08:30~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,채용시까지,108
[KTO파트너스]한국관광공사 중문골프장 프론트안내 단시간 계약직 구인,KTO파트너스,관계없음,학력무관,차량소지자,6개월,월급1700000원,(63535)제주특별자치도서귀포시중문관광로72번길60/한국관광공사중문골프클럽(색달동),06:00~12:30휴게시간(11:00~11:30)주소정근로시간:30시간,,채용시까지,109
[서호요양원]서호요양원 요양보호사 구인,서호요양원,관계없음,학력무관,-,기간의정함이없는근로계약,,(697845)제주특별자치도서귀포시서호호근로238번길10(서호동),근무시간협의가능※상세근무시간(오전)8시00분~(오후)6시00분(오후)6시00분~(오전)8시00분휴게시간(12:30~13:30)주소정근로시간:40시간,,채용시까지,110
[(주)제인종합건축사사무소]건축설계기술자(경력) 모집,(주)제인종합건축사사무소,경력(최소2년0개월이상)필수,대졸(2~3년)~대졸(4년),문서작성및프리젠테이션(스케치업/포토샵가능자우대),기간의정함이없는근로계약,,(690812)제주특별자치도제주시서사로152/2층(삼도일동),09:00~18:00주소정근로시간:40시간,,채용시까지,111
[주식회사 마이앤마인]미생물 배양 및 접종 관리,주식회사 마이앤마인,신입,대졸(4년)~박사,북한이탈주민/장기복무제대군인/고용촉진장려금대상자/보훈취업지원대상자/차량소지자/운전면허증/장애인우대/(준)고령자(50세이상)우대,기간의정함이없는근로계약,,(63175)제주특별자치도제주시전농로18(삼도일동),근무시간협의가능※상세근무시간(오전)9시00분~(오후)6시00분근무지거리가먼관계로근무시간협의가능휴게시간(12:00~13:00)주소정근로시간:40시간,,채용시까지,112
[주식회사도연](서귀포/중문) 씨사이드아덴리조트 소장/하우스맨/룸메이드/미화 사원 채용,주식회사도연,관계없음,학력무관,-,기간의정함이없는근로계약,,(63535)제주특별자치도서귀포시중문관광로124/색달동씨사이드아덴리조트(색달동),09:00~18:00휴게시간(11:00~12:00)주소정근로시간:40시간,,채용시까지,113
[본카페]본카페 직원 모집,본카페,관계없음,초졸이하,고용촉진장려금대상자,(시간(선택)제)12개월/계약기간만료후상용직전환검토,급여협의가능,(63045)제주특별자치도제주시애월읍애월해안로179/본카페,09:00~21:00휴게시간(16:30~18:00)주소정근로시간:25시간,,,114
